TrainingDataSize:  400000 | LayerNum: 500 | Dataset: Specs_general_active.mat | tfsset: tfs_general_active.mat
Epoch:  0 | train loss: 0.0005516764 | test loss: 0.0005727698 | learn rate: 0.00010000
Epoch:  10 | train loss: 0.0001155649 | test loss: 0.0001145059 | learn rate: 0.00010000
Epoch:  20 | train loss: 0.0000932558 | test loss: 0.0000926480 | learn rate: 0.00010000
Epoch:  30 | train loss: 0.0000807068 | test loss: 0.0000803894 | learn rate: 0.00010000
Epoch:  40 | train loss: 0.0000728592 | test loss: 0.0000727152 | learn rate: 0.00010000
Epoch:  50 | train loss: 0.0000676584 | test loss: 0.0000677800 | learn rate: 0.00008000
Epoch:  60 | train loss: 0.0000646299 | test loss: 0.0000649618 | learn rate: 0.00008000
Epoch:  70 | train loss: 0.0000622163 | test loss: 0.0000628214 | learn rate: 0.00008000
Epoch:  80 | train loss: 0.0000602080 | test loss: 0.0000612621 | learn rate: 0.00008000
Epoch:  90 | train loss: 0.0000586334 | test loss: 0.0000598250 | learn rate: 0.00008000
Epoch:  100 | train loss: 0.0000571304 | test loss: 0.0000585632 | learn rate: 0.00006400
Epoch:  110 | train loss: 0.0000562457 | test loss: 0.0000578363 | learn rate: 0.00006400
Epoch:  120 | train loss: 0.0000554800 | test loss: 0.0000572046 | learn rate: 0.00006400
Epoch:  130 | train loss: 0.0000548374 | test loss: 0.0000566591 | learn rate: 0.00006400
Epoch:  140 | train loss: 0.0000542883 | test loss: 0.0000562072 | learn rate: 0.00006400
Epoch:  150 | train loss: 0.0000536613 | test loss: 0.0000556719 | learn rate: 0.00005120
Epoch:  160 | train loss: 0.0000532528 | test loss: 0.0000553670 | learn rate: 0.00005120
Epoch:  170 | train loss: 0.0000529212 | test loss: 0.0000551026 | learn rate: 0.00005120
Epoch:  180 | train loss: 0.0000525790 | test loss: 0.0000548554 | learn rate: 0.00005120
Epoch:  190 | train loss: 0.0000522580 | test loss: 0.0000546449 | learn rate: 0.00005120
Epoch:  200 | train loss: 0.0000519511 | test loss: 0.0000543291 | learn rate: 0.00004096
Epoch:  210 | train loss: 0.0000517305 | test loss: 0.0000541610 | learn rate: 0.00004096
Epoch:  220 | train loss: 0.0000515250 | test loss: 0.0000540142 | learn rate: 0.00004096
Epoch:  230 | train loss: 0.0000513404 | test loss: 0.0000538827 | learn rate: 0.00004096
Epoch:  240 | train loss: 0.0000511637 | test loss: 0.0000537624 | learn rate: 0.00004096
Epoch:  250 | train loss: 0.0000509513 | test loss: 0.0000535786 | learn rate: 0.00003277
Epoch:  260 | train loss: 0.0000507940 | test loss: 0.0000534821 | learn rate: 0.00003277
Epoch:  270 | train loss: 0.0000506488 | test loss: 0.0000533980 | learn rate: 0.00003277
Epoch:  280 | train loss: 0.0000505213 | test loss: 0.0000533157 | learn rate: 0.00003277
Epoch:  290 | train loss: 0.0000504024 | test loss: 0.0000532393 | learn rate: 0.00003277
Epoch:  300 | train loss: 0.0000502937 | test loss: 0.0000531207 | learn rate: 0.00002621
Epoch:  310 | train loss: 0.0000501659 | test loss: 0.0000530497 | learn rate: 0.00002621
Epoch:  320 | train loss: 0.0000500642 | test loss: 0.0000529990 | learn rate: 0.00002621
Epoch:  330 | train loss: 0.0000499827 | test loss: 0.0000529460 | learn rate: 0.00002621
Epoch:  340 | train loss: 0.0000498958 | test loss: 0.0000528901 | learn rate: 0.00002621
Epoch:  350 | train loss: 0.0000498164 | test loss: 0.0000527972 | learn rate: 0.00002097
Epoch:  360 | train loss: 0.0000497158 | test loss: 0.0000527561 | learn rate: 0.00002097
Epoch:  370 | train loss: 0.0000496406 | test loss: 0.0000527211 | learn rate: 0.00002097
Epoch:  380 | train loss: 0.0000495724 | test loss: 0.0000526872 | learn rate: 0.00002097
Epoch:  390 | train loss: 0.0000495069 | test loss: 0.0000526501 | learn rate: 0.00002097
Epoch:  400 | train loss: 0.0000494625 | test loss: 0.0000525399 | learn rate: 0.00001678
Epoch:  410 | train loss: 0.0000493930 | test loss: 0.0000525085 | learn rate: 0.00001678
Epoch:  420 | train loss: 0.0000493410 | test loss: 0.0000524771 | learn rate: 0.00001678
Epoch:  430 | train loss: 0.0000492843 | test loss: 0.0000524545 | learn rate: 0.00001678
Epoch:  440 | train loss: 0.0000492375 | test loss: 0.0000524304 | learn rate: 0.00001678
Epoch:  450 | train loss: 0.0000492468 | test loss: 0.0000523741 | learn rate: 0.00001342
Epoch:  460 | train loss: 0.0000491789 | test loss: 0.0000523461 | learn rate: 0.00001342
Epoch:  470 | train loss: 0.0000491480 | test loss: 0.0000523305 | learn rate: 0.00001342
Epoch:  480 | train loss: 0.0000490982 | test loss: 0.0000523129 | learn rate: 0.00001342
Epoch:  490 | train loss: 0.0000490514 | test loss: 0.0000522943 | learn rate: 0.00001342
Epoch:  500 | train loss: 0.0000489951 | test loss: 0.0000522266 | learn rate: 0.00001074
—µ¡∑”√ ±£∫552s (0h09m12s)
Training finished! | loss in figure 'train.png': 0.0000185420 | loss in figure 'test.png': 0.0000134196
