TrainingDataSize:  400000 | noise_level: 0.1 | Layer1Num: 500 | Layer2Num 500 | Layer3Num 500
Epoch:  0 | train loss: 0.0004581393 | test loss: 0.0004774069 | learn rate: 0.00010000
Epoch:  10 | train loss: 0.0000727954 | test loss: 0.0000722616 | learn rate: 0.00010000
Epoch:  20 | train loss: 0.0000441012 | test loss: 0.0000440117 | learn rate: 0.00010000
Epoch:  30 | train loss: 0.0000297767 | test loss: 0.0000300187 | learn rate: 0.00010000
Epoch:  40 | train loss: 0.0000221479 | test loss: 0.0000224242 | learn rate: 0.00010000
Epoch:  50 | train loss: 0.0000174837 | test loss: 0.0000178578 | learn rate: 0.00008000
Epoch:  60 | train loss: 0.0000150044 | test loss: 0.0000154572 | learn rate: 0.00008000
Epoch:  70 | train loss: 0.0000133173 | test loss: 0.0000137432 | learn rate: 0.00008000
Epoch:  80 | train loss: 0.0000119985 | test loss: 0.0000124740 | learn rate: 0.00008000
Epoch:  90 | train loss: 0.0000109947 | test loss: 0.0000115103 | learn rate: 0.00008000
Epoch:  100 | train loss: 0.0000101212 | test loss: 0.0000106616 | learn rate: 0.00006400
Epoch:  110 | train loss: 0.0000096577 | test loss: 0.0000101547 | learn rate: 0.00006400
Epoch:  120 | train loss: 0.0000092214 | test loss: 0.0000097253 | learn rate: 0.00006400
Epoch:  130 | train loss: 0.0000088384 | test loss: 0.0000093645 | learn rate: 0.00006400
Epoch:  140 | train loss: 0.0000084996 | test loss: 0.0000090505 | learn rate: 0.00006400
Epoch:  150 | train loss: 0.0000080696 | test loss: 0.0000087011 | learn rate: 0.00005120
Epoch:  160 | train loss: 0.0000078288 | test loss: 0.0000084980 | learn rate: 0.00005120
Epoch:  170 | train loss: 0.0000076218 | test loss: 0.0000083098 | learn rate: 0.00005120
Epoch:  180 | train loss: 0.0000074253 | test loss: 0.0000081341 | learn rate: 0.00005120
Epoch:  190 | train loss: 0.0000072310 | test loss: 0.0000079695 | learn rate: 0.00005120
Epoch:  200 | train loss: 0.0000069957 | test loss: 0.0000078216 | learn rate: 0.00004096
Epoch:  210 | train loss: 0.0000068575 | test loss: 0.0000077138 | learn rate: 0.00004096
Epoch:  220 | train loss: 0.0000067265 | test loss: 0.0000076106 | learn rate: 0.00004096
Epoch:  230 | train loss: 0.0000066128 | test loss: 0.0000075142 | learn rate: 0.00004096
Epoch:  240 | train loss: 0.0000065044 | test loss: 0.0000074221 | learn rate: 0.00004096
Epoch:  250 | train loss: 0.0000063382 | test loss: 0.0000072668 | learn rate: 0.00003277
Epoch:  260 | train loss: 0.0000062650 | test loss: 0.0000071883 | learn rate: 0.00003277
Epoch:  270 | train loss: 0.0000061915 | test loss: 0.0000071257 | learn rate: 0.00003277
Epoch:  280 | train loss: 0.0000061177 | test loss: 0.0000070658 | learn rate: 0.00003277
Epoch:  290 | train loss: 0.0000060536 | test loss: 0.0000070057 | learn rate: 0.00003277
Epoch:  300 | train loss: 0.0000059663 | test loss: 0.0000068656 | learn rate: 0.00002621
Epoch:  310 | train loss: 0.0000058983 | test loss: 0.0000068290 | learn rate: 0.00002621
Epoch:  320 | train loss: 0.0000058494 | test loss: 0.0000067841 | learn rate: 0.00002621
Epoch:  330 | train loss: 0.0000058023 | test loss: 0.0000067426 | learn rate: 0.00002621
Epoch:  340 | train loss: 0.0000057571 | test loss: 0.0000067029 | learn rate: 0.00002621
Epoch:  350 | train loss: 0.0000056794 | test loss: 0.0000066499 | learn rate: 0.00002097
Epoch:  360 | train loss: 0.0000056437 | test loss: 0.0000066171 | learn rate: 0.00002097
Epoch:  370 | train loss: 0.0000056041 | test loss: 0.0000065858 | learn rate: 0.00002097
Epoch:  380 | train loss: 0.0000055708 | test loss: 0.0000065578 | learn rate: 0.00002097
Epoch:  390 | train loss: 0.0000055351 | test loss: 0.0000065294 | learn rate: 0.00002097
Epoch:  400 | train loss: 0.0000054481 | test loss: 0.0000064896 | learn rate: 0.00001678
Epoch:  410 | train loss: 0.0000054229 | test loss: 0.0000064664 | learn rate: 0.00001678
Epoch:  420 | train loss: 0.0000053974 | test loss: 0.0000064433 | learn rate: 0.00001678
Epoch:  430 | train loss: 0.0000053732 | test loss: 0.0000064214 | learn rate: 0.00001678
Epoch:  440 | train loss: 0.0000053500 | test loss: 0.0000063989 | learn rate: 0.00001678
Epoch:  450 | train loss: 0.0000052942 | test loss: 0.0000063688 | learn rate: 0.00001342
Epoch:  460 | train loss: 0.0000052746 | test loss: 0.0000063488 | learn rate: 0.00001342
Epoch:  470 | train loss: 0.0000052551 | test loss: 0.0000063307 | learn rate: 0.00001342
Epoch:  480 | train loss: 0.0000052369 | test loss: 0.0000063146 | learn rate: 0.00001342
Epoch:  490 | train loss: 0.0000052183 | test loss: 0.0000062978 | learn rate: 0.00001342
Epoch:  500 | train loss: 0.0000051849 | test loss: 0.0000062569 | learn rate: 0.00001074
—µ¡∑”√ ±£∫555s (0h09m15s)
Training finished! | loss in figure 'train.png': 0.0000012667 | loss in figure 'test.png': 0.0000095536
