TrainingDataSize:  400000 | LayerNum: 500 | Dataset: Specs_general_passive.mat | tfsset: tfs_general_passive.mat
Epoch:  0 | train loss: 0.0005897150 | test loss: 0.0006011926 | learn rate: 0.00010000
Epoch:  10 | train loss: 0.0001267615 | test loss: 0.0001253704 | learn rate: 0.00010000
Epoch:  20 | train loss: 0.0000809584 | test loss: 0.0000812264 | learn rate: 0.00010000
Epoch:  30 | train loss: 0.0000605427 | test loss: 0.0000607825 | learn rate: 0.00010000
Epoch:  40 | train loss: 0.0000505084 | test loss: 0.0000507828 | learn rate: 0.00010000
Epoch:  50 | train loss: 0.0000435984 | test loss: 0.0000452488 | learn rate: 0.00008000
Epoch:  60 | train loss: 0.0000404404 | test loss: 0.0000422737 | learn rate: 0.00008000
Epoch:  70 | train loss: 0.0000381122 | test loss: 0.0000401421 | learn rate: 0.00008000
Epoch:  80 | train loss: 0.0000363798 | test loss: 0.0000385584 | learn rate: 0.00008000
Epoch:  90 | train loss: 0.0000350873 | test loss: 0.0000373362 | learn rate: 0.00008000
Epoch:  100 | train loss: 0.0000340009 | test loss: 0.0000359628 | learn rate: 0.00006400
Epoch:  110 | train loss: 0.0000332321 | test loss: 0.0000353223 | learn rate: 0.00006400
Epoch:  120 | train loss: 0.0000325670 | test loss: 0.0000347789 | learn rate: 0.00006400
Epoch:  130 | train loss: 0.0000319484 | test loss: 0.0000342745 | learn rate: 0.00006400
Epoch:  140 | train loss: 0.0000313864 | test loss: 0.0000338609 | learn rate: 0.00006400
Epoch:  150 | train loss: 0.0000307947 | test loss: 0.0000334702 | learn rate: 0.00005120
Epoch:  160 | train loss: 0.0000303955 | test loss: 0.0000331742 | learn rate: 0.00005120
Epoch:  170 | train loss: 0.0000300670 | test loss: 0.0000329285 | learn rate: 0.00005120
Epoch:  180 | train loss: 0.0000297499 | test loss: 0.0000327157 | learn rate: 0.00005120
Epoch:  190 | train loss: 0.0000294589 | test loss: 0.0000325140 | learn rate: 0.00005120
Epoch:  200 | train loss: 0.0000291203 | test loss: 0.0000321665 | learn rate: 0.00004096
Epoch:  210 | train loss: 0.0000288782 | test loss: 0.0000320019 | learn rate: 0.00004096
Epoch:  220 | train loss: 0.0000286661 | test loss: 0.0000318742 | learn rate: 0.00004096
Epoch:  230 | train loss: 0.0000284816 | test loss: 0.0000317440 | learn rate: 0.00004096
Epoch:  240 | train loss: 0.0000282831 | test loss: 0.0000316423 | learn rate: 0.00004096
Epoch:  250 | train loss: 0.0000280056 | test loss: 0.0000313990 | learn rate: 0.00003277
Epoch:  260 | train loss: 0.0000278356 | test loss: 0.0000313290 | learn rate: 0.00003277
Epoch:  270 | train loss: 0.0000276733 | test loss: 0.0000312597 | learn rate: 0.00003277
Epoch:  280 | train loss: 0.0000275237 | test loss: 0.0000311892 | learn rate: 0.00003277
Epoch:  290 | train loss: 0.0000273607 | test loss: 0.0000311199 | learn rate: 0.00003277
Epoch:  300 | train loss: 0.0000271289 | test loss: 0.0000308782 | learn rate: 0.00002621
Epoch:  310 | train loss: 0.0000269575 | test loss: 0.0000308088 | learn rate: 0.00002621
Epoch:  320 | train loss: 0.0000268508 | test loss: 0.0000307668 | learn rate: 0.00002621
Epoch:  330 | train loss: 0.0000267443 | test loss: 0.0000307189 | learn rate: 0.00002621
Epoch:  340 | train loss: 0.0000266456 | test loss: 0.0000306873 | learn rate: 0.00002621
Epoch:  350 | train loss: 0.0000265473 | test loss: 0.0000307451 | learn rate: 0.00002097
Epoch:  360 | train loss: 0.0000264406 | test loss: 0.0000307627 | learn rate: 0.00002097
Epoch:  370 | train loss: 0.0000263373 | test loss: 0.0000307170 | learn rate: 0.00002097
Epoch:  380 | train loss: 0.0000262578 | test loss: 0.0000306810 | learn rate: 0.00002097
Epoch:  390 | train loss: 0.0000261632 | test loss: 0.0000306341 | learn rate: 0.00002097
Epoch:  400 | train loss: 0.0000260563 | test loss: 0.0000307084 | learn rate: 0.00001678
Epoch:  410 | train loss: 0.0000259864 | test loss: 0.0000306708 | learn rate: 0.00001678
Epoch:  420 | train loss: 0.0000259158 | test loss: 0.0000306375 | learn rate: 0.00001678
Epoch:  430 | train loss: 0.0000258444 | test loss: 0.0000306174 | learn rate: 0.00001678
Epoch:  440 | train loss: 0.0000257846 | test loss: 0.0000305970 | learn rate: 0.00001678
Epoch:  450 | train loss: 0.0000256908 | test loss: 0.0000305264 | learn rate: 0.00001342
Epoch:  460 | train loss: 0.0000256358 | test loss: 0.0000304507 | learn rate: 0.00001342
Epoch:  470 | train loss: 0.0000255874 | test loss: 0.0000304405 | learn rate: 0.00001342
Epoch:  480 | train loss: 0.0000255303 | test loss: 0.0000304292 | learn rate: 0.00001342
Epoch:  490 | train loss: 0.0000254838 | test loss: 0.0000304299 | learn rate: 0.00001342
Epoch:  500 | train loss: 0.0000255996 | test loss: 0.0000301042 | learn rate: 0.00001074
—µ¡∑”√ ±£∫449s (0h07m29s)
Training finished! | loss in figure 'train.png': 0.0000073929 | loss in figure 'test.png': 0.0000912153
